Date,Open,High,Low,Close,Adj Close,Volume
2023-02-21,2330.000000,2335.000000,2306.000000,2331.850098,2322.052246,256936
2023-02-22,2319.949951,2319.949951,2281.000000,2294.649902,2285.008545,330363
2023-02-23,2298.000000,2300.350098,2258.000000,2268.149902,2258.619873,381344
2023-02-24,2270.000000,2288.300049,2250.050049,2275.699951,2266.138184,458298
2023-02-27,2265.000000,2293.199951,2261.000000,2279.649902,2270.071533,231825
2023-02-28,2277.000000,2313.600098,2266.699951,2300.800049,2291.132813,312343
2023-03-01,2312.350098,2316.250000,2295.199951,2307.500000,2297.804443,283892
2023-03-02,2307.000000,2315.899902,2290.000000,2309.899902,2300.194336,233107
2023-03-03,2318.000000,2330.000000,2305.000000,2318.750000,2309.007324,313073
2023-03-06,2330.600098,2369.649902,2325.399902,2351.000000,2341.121826,332386
2023-03-08,2349.899902,2352.750000,2327.350098,2348.100098,2338.234131,228845
2023-03-09,2354.000000,2359.000000,2302.000000,2308.550049,2298.850098,306514
2023-03-10,2298.000000,2317.649902,2275.000000,2313.500000,2303.779297,161789
2023-03-13,2306.000000,2313.500000,2282.050049,2292.550049,2282.917480,340575
2023-03-14,2292.000000,2312.949951,2281.000000,2302.250000,2292.576660,340133
2023-03-15,2314.000000,2337.449951,2302.199951,2311.449951,2301.737793,205114
2023-03-16,2323.600098,2364.199951,2312.100098,2341.199951,2331.362793,263331
2023-03-17,2355.050049,2357.800049,2324.850098,2349.899902,2340.026367,425920
2023-03-20,2330.000000,2376.899902,2320.149902,2372.399902,2362.431885,311427
2023-03-21,2384.250000,2389.850098,2351.100098,2358.449951,2348.540527,299389
2023-03-22,2374.000000,2398.399902,2365.000000,2377.050049,2367.062256,1026637
2023-03-23,2377.050049,2383.300049,2356.050049,2368.100098,2358.150146,271280
2023-03-24,2368.100098,2379.000000,2351.649902,2364.550049,2354.614990,270195
2023-03-27,2356.000000,2370.000000,2335.699951,2352.050049,2342.167480,190338
2023-03-28,2355.000000,2355.449951,2316.500000,2336.050049,2326.234619,301608
2023-03-29,2336.050049,2346.000000,2305.000000,2315.199951,2305.472168,330670
2023-03-31,2324.949951,2368.000000,2313.000000,2353.000000,2343.113281,521107
2023-04-03,2350.000000,2350.000000,2296.300049,2327.600098,2317.820313,411040
2023-04-05,2318.000000,2334.949951,2306.399902,2322.449951,2312.691650,226417
2023-04-06,2325.000000,2347.850098,2317.899902,2332.050049,2322.251465,368699
2023-04-10,2333.949951,2364.050049,2312.350098,2355.699951,2345.802002,277272
2023-04-11,2364.000000,2366.699951,2329.000000,2346.149902,2336.291992,280704
2023-04-12,2346.100098,2359.449951,2335.449951,2347.800049,2337.935303,483206
2023-04-13,2347.699951,2366.000000,2343.899902,2350.199951,2340.325195,339297
2023-04-17,2358.000000,2375.949951,2348.949951,2369.699951,2359.743164,245889
2023-04-18,2375.000000,2437.000000,2352.000000,2432.500000,2422.279297,375635
2023-04-19,2447.350098,2448.800049,2400.000000,2408.600098,2398.479736,250464
2023-04-20,2415.000000,2425.649902,2401.100098,2408.100098,2397.981934,128035
2023-04-21,2419.899902,2445.050049,2414.000000,2440.149902,2429.897217,367124
