Date,Open,High,Low,Close,Adj Close,Volume
2023-10-26,2321.000000,2322.000000,2292.550049,2295.399902,2295.399902,280265
2023-10-27,2302.850098,2334.399902,2296.100098,2316.800049,2316.800049,422263
2023-10-30,2330.000000,2330.000000,2299.000000,2312.149902,2312.149902,311774
2023-10-31,2364.000000,2478.000000,2350.350098,2458.000000,2458.000000,2314742
2023-11-01,2452.000000,2465.000000,2401.649902,2406.350098,2406.350098,565676
2023-11-02,2430.000000,2436.350098,2395.250000,2428.300049,2428.300049,237880
2023-11-03,2437.800049,2459.000000,2414.350098,2455.500000,2455.500000,159963
2023-11-06,2470.000000,2471.449951,2420.949951,2433.699951,2433.699951,325475
2023-11-07,2446.949951,2446.949951,2421.000000,2438.300049,2438.300049,178637
2023-11-08,2464.000000,2488.750000,2437.250000,2473.149902,2473.149902,350680
2023-11-09,2465.100098,2500.000000,2450.500000,2457.550049,2457.550049,673878
2023-11-10,2457.550049,2470.000000,2418.800049,2432.350098,2432.350098,326200
2023-11-13,2444.800049,2447.850098,2421.899902,2428.600098,2428.600098,181803
2023-11-15,2429.000000,2469.649902,2420.850098,2460.300049,2460.300049,405307
2023-11-16,2460.500000,2466.149902,2446.050049,2459.100098,2459.100098,175004
2023-11-17,2468.850098,2534.300049,2465.050049,2510.300049,2510.300049,786838
2023-11-20,2510.300049,2520.000000,2476.250000,2483.550049,2483.550049,208065
2023-11-21,2484.000000,2504.750000,2471.649902,2495.600098,2495.600098,225993
2023-11-22,2495.550049,2507.800049,2478.050049,2488.350098,2488.350098,143168
2023-11-23,2488.350098,2516.000000,2482.949951,2509.300049,2509.300049,253442
2023-11-24,2515.899902,2516.449951,2482.000000,2504.100098,2504.100098,247748
2023-11-28,2491.000000,2514.300049,2481.750000,2488.050049,2488.050049,229294
2023-11-29,2488.949951,2515.899902,2485.000000,2503.600098,2503.600098,385084
2023-11-30,2503.600098,2563.600098,2487.000000,2552.350098,2552.350098,894422
2023-12-01,2570.000000,2576.149902,2544.050049,2562.149902,2562.149902,300500
2023-12-04,2576.000000,2582.000000,2546.000000,2553.449951,2553.449951,356930
2023-12-05,2555.000000,2588.399902,2545.649902,2571.000000,2571.000000,364575
2023-12-06,2589.949951,2616.199951,2570.000000,2576.149902,2576.149902,439281
2023-12-07,2590.000000,2628.000000,2583.050049,2588.850098,2588.850098,418572
2023-12-08,2607.000000,2607.000000,2545.000000,2561.649902,2561.649902,215930
2023-12-11,2561.649902,2567.800049,2535.699951,2545.550049,2545.550049,252758
2023-12-12,2546.050049,2614.800049,2546.050049,2607.500000,2607.500000,705500
2023-12-13,2621.350098,2649.000000,2576.000000,2623.250000,2623.250000,631170
2023-12-14,2633.350098,2638.000000,2600.000000,2634.300049,2634.300049,451306
2023-12-15,2634.300049,2656.949951,2623.949951,2651.050049,2651.050049,515599
2023-12-18,2651.000000,2666.899902,2643.000000,2647.500000,2647.500000,464591
2023-12-19,2647.500000,2661.000000,2618.899902,2648.750000,2648.750000,389801
2023-12-20,2662.000000,2671.000000,2568.850098,2584.199951,2584.199951,597865
2023-12-21,2565.100098,2622.000000,2547.850098,2616.100098,2616.100098,201946
2023-12-22,2616.149902,2649.850098,2612.149902,2643.449951,2643.449951,237427
2023-12-26,2645.000000,2680.000000,2636.000000,2667.949951,2667.949951,213484
2023-12-27,2673.000000,2717.050049,2667.949951,2699.100098,2699.100098,487539
2023-12-28,2719.899902,2723.449951,2696.050049,2708.300049,2708.300049,409640
2023-12-29,2710.000000,2753.600098,2678.550049,2715.100098,2715.100098,691045
2024-01-01,2737.100098,2737.100098,2693.449951,2697.500000,2697.500000,130958
2024-01-02,2695.000000,2749.000000,2661.500000,2737.699951,2737.699951,267832
2024-01-03,2749.000000,2792.000000,2728.050049,2772.250000,2772.250000,347830
2024-01-04,2778.000000,2790.300049,2750.300049,2769.050049,2769.050049,300002
2024-01-05,2765.550049,2769.050049,2714.399902,2722.600098,2722.600098,377109
2024-01-08,2738.949951,2738.949951,2692.600098,2714.649902,2714.649902,268950
2024-01-09,2734.750000,2740.949951,2711.699951,2724.100098,2724.100098,273223
2024-01-10,2712.000000,2731.000000,2697.050049,2709.300049,2709.300049,274833
2024-01-11,2705.000000,2744.500000,2698.199951,2740.550049,2740.550049,232373
2024-01-12,2744.149902,2755.000000,2710.050049,2735.100098,2735.100098,185626
2024-01-15,2725.000000,2773.550049,2717.000000,2754.250000,2754.250000,719264
2024-01-16,2751.100098,2805.000000,2730.000000,2795.550049,2795.550049,415738
2024-01-17,2789.000000,2789.000000,2720.800049,2757.750000,2757.750000,761187
2024-01-18,2742.000000,2750.250000,2675.000000,2698.399902,2698.399902,468132
2024-01-19,2705.500000,2711.949951,2677.100098,2687.699951,2687.699951,627943
2024-01-22,null,null,null,null,null,null
2024-01-23,2674.899902,2690.949951,2488.100098,2522.600098,2522.600098,1269276
2024-01-24,2630.000000,2660.149902,2530.000000,2592.050049,2592.050049,2141269
2024-01-25,2608.000000,2610.000000,2568.949951,2590.149902,2590.149902,757628
